class_label,rank,feature_index,term,aggregate_attribution,mean_attribution,n_correct_texts
homme,1,14617,eût,3.3324519233428873,0.03435517446745245,97
homme,2,15264,fit,3.0611985296127386,0.03155874772796638,97
homme,3,14174,eut,2.6508975321194157,0.027328840537313565,97
homme,4,7679,commissaire,2.4274794749799185,0.025025561597731116,97
homme,5,24035,mètres,2.3006942082429305,0.023718496992195158,97
homme,6,5462,béru,2.2205649074167013,0.022892421725945373,97
homme,7,6469,chapitre,2.1082219723029993,0.021734247137144322,97
homme,8,27498,police,2.096923491655616,0.021617767955212537,97
homme,9,20623,jules,1.9463127220515162,0.020065079608778517,97
homme,10,22048,maigret,1.8896567907650024,0.019480997842938167,97
homme,11,15875,francs,1.8179897235822864,0.018742162098786458,97
homme,12,16364,fût,1.6501527280779555,0.0170118837946181,97
homme,13,5835,capitaine,1.5641148494905792,0.01612489535557298,97
homme,14,6233,cents,1.527687433292158,0.015749354982393382,97
homme,15,38108,voici,1.5033888614561874,0.015498854241816365,97
homme,16,37037,type,1.4041522601619363,0.014475796496514808,97
homme,17,60,abbé,1.3979415969224647,0.01441176904043778,97
homme,18,20251,jadis,1.3913086827669758,0.01434338848213377,97
homme,19,26166,parut,1.3504796673660167,0.0139224707975878,97
homme,20,31344,revolver,1.3313959793304093,0.013725731745674322,97
femme,1,21969,madame,4.471522003703285,0.030212986511508683,148
femme,2,5710,camille,3.794280070113018,0.025637027500763635,148
femme,3,22487,marie,3.6621356365212705,0.0247441597062248,148
femme,4,22485,marianne,2.9977035026531667,0.02025475339630518,148
femme,5,35792,thomas,2.9414290324784815,0.01987452048971947,148
femme,6,37353,valentine,2.6177663556300104,0.017687610511013585,148
femme,7,35401,tante,2.5156926069466863,0.016997923019910044,148
femme,8,21974,mademoiselle,2.4896548232645728,0.016821992049084952,148
femme,9,22509,marion,2.437892335699871,0.016472245511485618,148
femme,10,5402,bébé,2.4159394510788843,0.016323915209992462,148
femme,11,21858,léa,2.334332133643329,0.01577251441650898,148
femme,12,22480,mariage,2.0979208577773534,0.014175140930928063,148
femme,13,21429,lisa,1.9089569514617324,0.01289835778014684,148
femme,14,20630,juliette,1.8421491444460116,0.012446953678689268,148
femme,15,39536,époux,1.8191281267791055,0.012291406262020983,148
femme,16,24401,nathalie,1.8150878734886646,0.012264107253301787,148
femme,17,1312,alex,1.8142030679155141,0.012258128837266987,148
femme,18,24799,noël,1.75035237101838,0.011826705209583649,148
femme,19,14277,exclama,1.6377277044812217,0.011065727732981229,148
femme,20,32259,rémi,1.6279918365180492,0.01099994484133817,148
